Date,Open,High,Low,Close,Adj Close,Volume
2021-07-09,174.699997,177.518005,173.929993,177.039993,177.039993,7873266
2021-07-12,177.710007,184.990005,177.369995,184.380005,184.380005,21835513
2021-07-13,184.089996,185.669998,181.840103,183.649994,183.649994,12534554
2021-07-14,185.199997,186.289993,182.080002,183.419998,183.419998,8787307
2021-07-15,183.449997,185.419998,183.050003,184.149994,184.149994,7866968
2021-07-16,184.940002,185.289993,178.919998,179.309998,179.309998,8348797
2021-07-19,175.710007,176.479904,172.160004,172.949997,172.949997,14651780
2021-07-20,173.699997,177.509995,172.869995,176.750000,176.750000,8372402
2021-07-21,176.500000,177.899994,175.320007,176.889999,176.889999,6302229
2021-07-22,176.699997,176.720001,173.899994,175.130005,175.130005,5713745
2021-07-23,175.660004,176.500000,174.029999,176.139999,176.139999,5126271
2021-07-26,175.619995,178.779999,175.339996,178.740005,178.740005,5641039
2021-07-27,178.250000,179.559998,176.565002,179.500000,179.500000,6684123
2021-07-28,179.690002,180.350006,177.550003,179.100006,179.100006,5926934
2021-07-29,179.809998,181.419998,178.270004,178.350006,178.350006,6209059
2021-07-30,177.529999,179.199997,175.139999,176.020004,176.020004,6813443
2021-08-02,177.220001,178.820007,175.309998,175.550003,175.550003,5847175
2021-08-03,176.020004,176.130005,170.919998,172.990005,172.990005,9931347
2021-08-04,172.500000,173.250000,171.339996,172.580002,172.580002,5665827
2021-08-05,172.490005,177.119995,172.490005,176.710007,176.710007,8864174
2021-08-06,177.429993,178.809998,176.630005,177.130005,177.130005,5505241
2021-08-09,177.000000,177.309998,175.061996,176.720001,176.720001,5338969
2021-08-10,176.250000,177.399994,175.580002,177.070007,177.070007,5184959
2021-08-11,177.360001,178.490005,176.509995,178.089996,178.089996,5359894
2021-08-12,178.089996,179.720001,176.449997,179.289993,179.289993,11266420
2021-08-13,186.289993,187.579895,180.880005,181.080002,181.080002,32504619
2021-08-16,180.505005,180.589996,176.509995,179.089996,179.089996,8755051
2021-08-17,177.149994,178.449997,174.923203,175.830002,175.830002,8534526
2021-08-18,175.899994,176.792496,174.500000,174.740005,174.740005,7063511
2021-08-19,174.000000,174.679993,172.559998,173.250000,173.250000,8478606
2021-08-20,173.000000,175.210007,172.649994,175.119995,175.119995,6239617
2021-08-23,177.080002,178.309998,175.910095,177.660004,177.660004,7395878
2021-08-24,177.919998,180.080002,177.759995,178.470001,178.470001,5886947
2021-08-25,178.160004,178.589996,176.880005,178.309998,178.309998,4842077
2021-08-26,178.339996,178.940002,176.339996,176.559998,176.559998,4563000
2021-08-27,176.279999,180.539993,176.279999,180.139999,180.139999,8696960
2021-08-30,180.500000,181.389999,178.869995,179.979996,179.979996,6421287
2021-08-31,179.250000,182.979996,178.529999,181.300003,181.300003,8620017
2021-09-01,181.960007,184.210007,181.779999,183.479996,183.479996,7302824
2021-09-02,184.160004,185.300003,181.550003,181.860001,181.860001,6497070
2021-09-03,181.820007,181.820007,179.130005,181.000000,181.000000,6848827
2021-09-07,181.020004,185.550003,180.050003,184.339996,184.339996,10704995
2021-09-08,184.339996,187.460007,183.919998,185.149994,185.149994,8633959
2021-09-09,185.149994,187.579895,184.570007,185.910004,185.910004,7190666
2021-09-10,186.360001,187.100006,184.009995,184.119995,184.119995,5572248
2021-09-13,185.115005,185.800003,183.500000,184.979996,184.979996,6818241
2021-09-14,184.960007,185.130005,182.149994,182.399994,182.399994,6185890
2021-09-15,182.059998,184.660004,181.102997,184.410004,184.410004,5933400
2021-09-16,183.970001,184.639999,182.119995,183.339996,183.339996,5678224
2021-09-17,182.910004,185.899994,182.729996,183.470001,183.470001,10039204
2021-09-20,179.740005,180.880005,176.550003,178.610001,178.610001,8056648
2021-09-21,180.320007,182.229996,169.029999,171.169998,171.169998,23216027
2021-09-22,172.940002,175.341003,171.660004,173.649994,173.649994,14214525
2021-09-23,174.940002,177.190002,174.369995,176.250000,176.250000,8052869
2021-09-24,175.300003,176.699997,175.077194,176.000000,176.000000,5712778
2021-09-27,176.630005,179.450195,175.960007,178.259995,178.259995,7754953
2021-09-28,177.750000,178.000000,173.860001,174.520004,174.520004,9133118
2021-09-29,174.250000,174.960007,172.589996,172.679993,172.679993,6240771
2021-09-30,173.100006,173.679993,169.100006,169.169998,169.169998,13977983
2021-10-01,172.279999,177.320007,171.970001,176.009995,176.009995,12165022
2021-10-04,175.559998,175.960007,172.664993,173.460007,173.460007,7200589
2021-10-05,173.830002,176.240005,173.610001,174.610001,174.610001,6798224
2021-10-06,173.000000,175.710007,171.550095,175.479996,175.479996,6005169
2021-10-07,177.699997,179.630005,177.330002,177.710007,177.710007,7779997
2021-10-08,177.929993,178.600006,176.402893,176.740005,176.740005,4132182
2021-10-11,176.020004,176.520004,173.479996,173.520004,173.520004,8046270
2021-10-12,173.619995,174.490005,172.544998,173.130005,173.130005,5188380
2021-10-13,173.630005,173.699997,170.940002,172.960007,172.960007,8918152
2021-10-14,174.070007,176.020004,174.000000,174.410004,174.410004,7453306
2021-10-15,175.690002,178.889999,174.100006,176.460007,176.460007,13943894
2021-10-18,172.360001,173.339996,169.800003,171.139999,171.139999,20494788
2021-10-19,171.440002,171.580002,170.179993,171.179993,171.179993,9669482
2021-10-20,170.970001,171.020004,169.880005,170.550003,170.550003,9737626
2021-10-21,170.199997,172.500000,170.100006,171.339996,171.339996,7508956
2021-10-22,170.570007,170.800003,168.600006,169.419998,169.419998,7854323
2021-10-25,169.899994,172.570007,169.024994,172.009995,172.009995,9798688
2021-10-26,172.949997,173.115005,170.710007,172.039993,172.039993,5850210
2021-10-27,171.770004,172.039993,169.429993,169.550003,169.550003,7054716
2021-10-28,169.479996,170.350006,168.600006,169.679993,169.679993,7884519
2021-10-29,169.020004,170.459900,168.149994,169.070007,169.070007,7598849
2021-11-01,169.210007,171.250000,169.089996,170.190002,170.190002,8182898
2021-11-02,170.029999,170.850006,168.979996,169.830002,169.830002,6777230
2021-11-03,169.699997,170.190002,168.369995,170.080002,170.080002,6829310
2021-11-04,170.029999,170.419998,168.669998,170.279999,170.279999,7505507
2021-11-05,173.500000,176.990005,172.330002,175.630005,175.630005,16859184
2021-11-08,178.690002,179.250000,176.101807,176.869995,176.869995,10584586
2021-11-09,176.949997,177.119797,173.210007,175.110001,175.110001,7293301
2021-11-10,174.690002,176.869995,173.869995,174.449997,174.449997,11045826
2021-11-11,162.889999,163.960007,158.330002,162.110001,162.110001,62366499
2021-11-12,163.520004,163.610001,158.929993,159.630005,159.630005,25638370
2021-11-15,160.089996,160.720001,157.660004,158.429993,158.429993,21285347
2021-11-16,159.059998,160.240005,158.550003,158.830002,158.830002,15516161
2021-11-17,158.729996,158.889999,156.750000,157.330002,157.330002,14695528
2021-11-18,157.089996,157.300003,153.710007,155.580002,155.580002,14487740
2021-11-19,155.020004,155.210007,152.770004,154.000000,154.000000,16776492
2021-11-22,153.225006,155.823196,152.570007,154.160004,154.160004,12790408
2021-11-23,153.839996,154.250000,150.190002,151.029999,151.029999,17382893
2021-11-24,150.690002,151.410004,148.800003,151.339996,151.339996,14123739
2021-11-26,146.800003,148.850006,145.850006,148.110001,148.110001,12027675
2021-11-29,148.809998,149.300003,144.250000,147.809998,147.809998,21231323
2021-11-30,146.720001,147.279999,143.110001,144.899994,144.899994,26011109
2021-12-01,146.699997,148.369995,142.039993,142.149994,142.149994,15981641
2021-12-02,142.839996,147.649994,142.770004,147.199997,147.199997,18177709
2021-12-03,147.809998,148.315002,144.320007,146.220001,146.220001,14975619
2021-12-06,147.279999,150.739899,146.669998,150.369995,150.369995,14333932
2021-12-07,151.839996,152.759995,149.720001,150.809998,150.809998,14661067
2021-12-08,150.910004,153.654999,150.559998,153.339996,153.339996,12814973
2021-12-09,152.270004,154.289993,151.699997,152.940002,152.940002,11840025
2021-12-10,153.580002,154.660004,151.449997,152.710007,152.710007,9238538
